miRNA Name,Disease Name,MeSH
hsa-miR-144-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-200a-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-188-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-767-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-141-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-33a-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-145-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-339-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-370-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-663a,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-512-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-485-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1182,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1285-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1299,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1246,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-421,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1247-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1294,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-26a-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-143-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-494-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-610,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1286,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-580-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-296-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1204,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-29c-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-369-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-940,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1304-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-140-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-574-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-502-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-129-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-125a-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-152-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-590-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-194-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-125b-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-10a-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-326,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1303,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-198,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-219a-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-30c-2-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-203a-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1538,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-223-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-100-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-297,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-492,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-296-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-30b-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-526b-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-638,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-141-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-519d-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-149-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-324-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1253,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-532-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-32-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-496,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-16-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-214-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-218-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-595,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-936,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-885-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-31-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-183-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-338-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-486-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-130a-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1236-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-98-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1827,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-376b-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-337-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-199b-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-507,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-490-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-143-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-135b-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-432-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1324,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-374b-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-27a-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-520a-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1184,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-890,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1256,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1200,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-145-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-34a-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-361-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-23b-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-885-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-130a-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-22-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-374a-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-140-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1290,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-193a-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-127-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-593-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-146a-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-181d-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-204-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1183,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-620,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-340-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-379-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-101-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-20a-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-106b-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-335-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-654-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-24-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-93-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-224-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1275,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-424-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-454-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-622,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-30b-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-665,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1909-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-331-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-96-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-452-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-760,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-429,endometrial cancer,Endometrial Neoplasms
hsa-miR-200b-3p,endometrial cancer,Endometrial Neoplasms
hsa-miR-200a-3p,endometrial cancer,Endometrial Neoplasms
hsa-miR-200c-3p,endometrial cancer,Endometrial Neoplasms
hsa-miR-141-3p,endometrial cancer,Endometrial Neoplasms
hsa-miR-183-5p,endometrial cancer,Endometrial Neoplasms
hsa-miR-205-5p,endometrial cancer,Endometrial Neoplasms
hsa-miR-873-5p,endometrial cancer,Endometrial Neoplasms
hsa-miR-155-5p,endometrial cancer,Endometrial Neoplasms
hsa-miR-152-3p,endometrial cancer,Endometrial Neoplasms
hsa-miR-9-5p,endometrial cancer,Endometrial Neoplasms
hsa-miR-411-5p,endometrial cancer,Endometrial Neoplasms
hsa-miR-376b-3p,endometrial cancer,Endometrial Neoplasms
hsa-miR-135b-5p,endometrial cancer,Endometrial Neoplasms
hsa-miR-96-5p,endometrial cancer,Endometrial Neoplasms
hsa-miR-203a-3p,endometrial cancer,Endometrial Neoplasms
hsa-miR-205-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-194-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-203a-3p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-149-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-210-3p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-106b-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-21-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-27a-3p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-200a-3p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-10a-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-200b-3p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-99a-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-378a-3p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-338-3p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-223-3p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-429,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-23b-3p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-33a-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-125b-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-370-3p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-34a-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-152-3p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-25-3p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-16-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-125a-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-185-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-622,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-107,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-134-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-93-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-486-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-199a-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-200c-3p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-31-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-188-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-572,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-17-3p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-199b-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-494-3p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-638,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-148a-3p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-339-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-146a-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-181a-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-193a-3p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-224-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-100-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-141-3p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-331-3p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-29a-3p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-26a-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-195-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-145-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-24-3p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-17-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-22-3p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-29c-3p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-10b-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-296-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-9-5p,cervical cancer,Uterine Cervical Neoplasms
hsa-miR-101-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-142-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-29b-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-125a-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-150-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-142-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1323,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-34b-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-658,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-10b-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-103a-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-29a-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-148a-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-449a,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-99a-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-501-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-671-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-516a-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-637,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-572,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-214-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1224-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-532-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-155-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1229-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-17-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1292-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-570-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-138-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-107,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-330-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-136-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-876-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-448,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-612,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-518c-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1322,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-634,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-25-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-30a-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-522-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1258,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-625-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-766-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-361-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-629-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-197-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-199a-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-562,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1305,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-578,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-616-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-628-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-526b-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-569,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-646,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-489-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-524-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-377-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1205,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-558,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-377-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-548p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-302e,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-382-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-892b,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-512-5p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1257,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-1283,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-593-3p,nasopharyngeal cancer,Nasopharyngeal Neoplasms
hsa-miR-338-5p,brain cancer,Brain Neoplasms
hsa-miR-142-3p,brain cancer,Brain Neoplasms
hsa-miR-1224-5p,brain cancer,Brain Neoplasms
hsa-miR-485-5p,brain cancer,Brain Neoplasms
hsa-miR-130a-3p,brain cancer,Brain Neoplasms
hsa-miR-1229-3p,brain cancer,Brain Neoplasms
hsa-miR-760,brain cancer,Brain Neoplasms
hsa-miR-139-3p,brain cancer,Brain Neoplasms
hsa-miR-490-5p,brain cancer,Brain Neoplasms
hsa-miR-139-5p,brain cancer,Brain Neoplasms
hsa-miR-542-3p,brain cancer,Brain Neoplasms
hsa-miR-873-5p,brain cancer,Brain Neoplasms
hsa-miR-485-3p,brain cancer,Brain Neoplasms
hsa-miR-214-5p,brain cancer,Brain Neoplasms
hsa-miR-628-5p,brain cancer,Brain Neoplasms
hsa-miR-502-3p,gastric cancer,Stomach Neoplasms
hsa-miR-149-5p,gastric cancer,Stomach Neoplasms
hsa-miR-519d-3p,gastric cancer,Stomach Neoplasms
hsa-miR-524-3p,gastric cancer,Stomach Neoplasms
hsa-miR-219a-5p,gastric cancer,Stomach Neoplasms
hsa-miR-182-5p,gastric cancer,Stomach Neoplasms
hsa-miR-384,gastric cancer,Stomach Neoplasms
hsa-miR-152-3p,gastric cancer,Stomach Neoplasms
hsa-miR-593-3p,gastric cancer,Stomach Neoplasms
hsa-miR-33a-5p,gastric cancer,Stomach Neoplasms
hsa-miR-889-3p,gastric cancer,Stomach Neoplasms
hsa-miR-520a-5p,gastric cancer,Stomach Neoplasms
hsa-miR-548b-3p,gastric cancer,Stomach Neoplasms
hsa-miR-101-5p,gastric cancer,Stomach Neoplasms
hsa-miR-643,gastric cancer,Stomach Neoplasms
hsa-miR-607,gastric cancer,Stomach Neoplasms
hsa-miR-20b-3p,gastric cancer,Stomach Neoplasms
hsa-miR-599,gastric cancer,Stomach Neoplasms
hsa-miR-612,gastric cancer,Stomach Neoplasms
hsa-miR-646,gastric cancer,Stomach Neoplasms
hsa-miR-382-5p,gastric cancer,Stomach Neoplasms
hsa-miR-205-5p,gastric cancer,Stomach Neoplasms
hsa-miR-30b-3p,gastric cancer,Stomach Neoplasms
hsa-miR-640,gastric cancer,Stomach Neoplasms
hsa-miR-23b-3p,gastric cancer,Stomach Neoplasms
hsa-miR-138-5p,gastric cancer,Stomach Neoplasms
hsa-miR-522-3p,lung cancer,Lung Neoplasms
hsa-miR-30c-2-3p,lung cancer,Lung Neoplasms
hsa-miR-1262,lung cancer,Lung Neoplasms
hsa-miR-564,lung cancer,Lung Neoplasms
hsa-miR-141-5p,lung cancer,Lung Neoplasms
hsa-miR-143-5p,lung cancer,Lung Neoplasms
hsa-miR-593-5p,lung cancer,Lung Neoplasms
hsa-miR-626,lung cancer,Lung Neoplasms
hsa-miR-629-3p,lung cancer,Lung Neoplasms
hsa-miR-130a-5p,lung cancer,Lung Neoplasms
hsa-miR-22-3p,lung cancer,Lung Neoplasms
hsa-miR-1286,lung cancer,Lung Neoplasms
hsa-miR-1229-3p,lung cancer,Lung Neoplasms
hsa-miR-1323,lung cancer,Lung Neoplasms
hsa-miR-1305,lung cancer,Lung Neoplasms
hsa-miR-583,lung cancer,Lung Neoplasms
hsa-miR-1224-3p,lung cancer,Lung Neoplasms
hsa-miR-610,lung cancer,Lung Neoplasms
hsa-miR-34b-5p,lung cancer,Lung Neoplasms
hsa-miR-1297,lung cancer,Lung Neoplasms
hsa-miR-493-5p,lung cancer,Lung Neoplasms
hsa-miR-1231,lung cancer,Lung Neoplasms
hsa-miR-337-3p,lung cancer,Lung Neoplasms
hsa-miR-1179,lung cancer,Lung Neoplasms
hsa-miR-1283,lung cancer,Lung Neoplasms
hsa-miR-1257,lung cancer,Lung Neoplasms
hsa-miR-655-3p,lung cancer,Lung Neoplasms
hsa-miR-890,lung cancer,Lung Neoplasms
hsa-miR-490-5p,lung cancer,Lung Neoplasms
hsa-miR-424-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-21-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-494-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-98-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-542-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-454-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-490-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-148a-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-486-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-96-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-378a-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-1224-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-183-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-374a-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-141-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-590-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-7-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-135b-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-155-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-625-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-16-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-1257,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-32-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-1271-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-374b-5p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-140-3p,oral squamous cell carcinoma,Squamous Cell Carcinoma of Head and Neck
hsa-miR-21-5p,liver cancer,Liver Neoplasms
hsa-miR-101-3p,liver cancer,Liver Neoplasms
hsa-miR-429,liver cancer,Liver Neoplasms
hsa-miR-885-5p,liver cancer,Liver Neoplasms
hsa-miR-24-3p,liver cancer,Liver Neoplasms
hsa-miR-378a-3p,liver cancer,Liver Neoplasms
hsa-miR-96-5p,liver cancer,Liver Neoplasms
